fullname,fullcode,latitude,longitude,area_code
"Manhattan, KS",LAUMT203174000000003,39.1836082,-96.5716693,"Manhattan, KS Metropolitan Statistical Area"
"Mankato, MN",LAUMT273186000000003,44.1634663,-93.9993504,"Mankato-North Mankato, MN Metropolitan Statistical Area"
"Mansfield, OH",LAUMT393190000000003,40.75839,-82.515447,"Mansfield, OH Metropolitan Statistical Area"
"McAllen, TX",LAUMT483258000000003,26.2043691,-98.2300819,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area"
"Medford, OR",LAUMT413278000000003,42.3264181,-122.8718604,"Medford, OR Metropolitan Statistical Area"
"Memphis, TN",LAUMT473282000000003,35.1490215,-90.0516284,"Memphis, TN-MS-AR Metropolitan Statistical Area"
"Merced, CA",LAUMT063290000000003,37.3029568,-120.4843268,"Merced, CA Metropolitan Statistical Area"
"Miami, FL",LAUMT123310000000003,25.7742658,-80.1936588,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
"Michigan City, IN",LAUMT183314000000003,41.7075394,-86.8950296,"Michigan City-La Porte, IN Metropolitan Statistical Area"
"Midland, MI",LAUMT263322000000003,43.6155825,-84.2472116,"Midland, MI Metropolitan Statistical Area"
"Midland, TX",LAUMT483326000000003,31.9973662,-102.0779481,"Midland, TX Metropolitan Statistical Area"
"Milwaukee, WI",LAUMT553334000000003,43.0349931,-87.9224969,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area"
"Minneapolis, MN",LAUMT273346000000003,44.9772995,-93.2654691,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area"
"Missoula, MT",LAUMT303354000000003,46.8700801,-113.9952795,"Missoula, MT Metropolitan Statistical Area"
"Mobile, AL",LAUMT013366000000003,30.6943566,-88.043054,"Mobile, AL Metropolitan Statistical Area"
"Modesto, CA",LAUMT063370000000003,37.6390972,-120.9968781,"Modesto, CA Metropolitan Statistical Area"
"Monroe, LA",LAUMT223374000000003,38.2722313,-90.1792483,"Monroe, LA Metropolitan Statistical Area"
"Monroe, MI",LAUMT263378000000003,41.9145037,-83.3968251,"Monroe, MI Metropolitan Statistical Area"
"Montgomery, AL",LAUMT013386000000003,32.3669656,-86.3006484,"Montgomery, AL Metropolitan Statistical Area"
"Morgantown, WV",LAUMT543406000000003,39.6296809,-79.9559436,"Morgantown, WV Metropolitan Statistical Area"
"Morristown, TN",LAUMT473410000000003,36.2139814,-83.2948922,"Morristown, TN Metropolitan Statistical Area"
"Mount Vernon, WA",LAUMT533458000000003,48.4200462,-122.3264199,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area"
"Muncie, IN",LAUMT183462000000003,40.1936683,-85.3865113,"Muncie, IN Metropolitan Statistical Area"
"Muskegon, MI",LAUMT263474000000003,43.2341813,-86.248392,"Muskegon, MI Metropolitan Statistical Area"
"Myrtle Beach, SC",LAUMT453482000000003,33.6956461,-78.8900408,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area"
"Napa, CA",LAUMT063490000000003,38.2971367,-122.2855292,"Napa, CA Metropolitan Statistical Area"
"Naples, FL",LAUMT123494000000003,26.1420358,-81.7948102,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area"
"Nashville, TN",LAUMT473498000000003,36.1622296,-86.774353,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area"
"New Bern, NC",LAUMT373510000000003,35.1084931,-77.0441142,"New Bern, NC Metropolitan Statistical Area"
"New Orleans, LA",LAUMT223538000000003,29.9499323,-90.0701155,"New Orleans-Metairie, LA Metropolitan Statistical Area"
"New York, NY",LAUMT363562000000003,40.7305991,-73.9865811,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
"Niles, MI",LAUMT263566000000003,41.8297694,-86.2541767,"Niles-Benton Harbor, MI Metropolitan Statistical Area"
"North Port, FL",LAUMT123584000000003,27.044224,-82.2359253,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area"
"Ocala, FL",LAUMT123610000000003,29.1871986,-82.1400922,"Ocala, FL Metropolitan Statistical Area"
"Ocean City, NJ",LAUMT343614000000003,39.2776156,-74.5746,"Ocean City, NJ Metropolitan Statistical Area"
"Odessa, TX",LAUMT483622000000003,31.8457149,-102.3676869,"Odessa, TX Metropolitan Statistical Area"
"Ogden, UT",LAUMT493626000000003,41.2230048,-111.9738428,"Ogden-Clearfield, UT Metropolitan Statistical Area"
"Oklahoma City, OK",LAUMT403642000000003,35.4729886,-97.5170535,"Oklahoma City, OK Metropolitan Statistical Area"
"Olympia, WA",LAUMT533650000000003,47.0450197,-122.8948724,"Olympia-Tumwater, WA Metropolitan Statistical Area"
"Omaha, NE",LAUMT313654000000003,41.2587317,-95.9378731,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
"Orlando, FL",LAUMT123674000000003,28.5421175,-81.3790461,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
"Oshkosh, WI",LAUMT553678000000003,44.0206919,-88.5408573,"Oshkosh-Neenah, WI Metropolitan Statistical Area"
"Owensboro, KY",LAUMT213698000000003,37.7742152,-87.1133303,"Owensboro, KY Metropolitan Statistical Area"
"Oxnard, CA",LAUMT063710000000003,34.1976308,-119.1803817,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area"
"Palm Bay, FL",LAUMT123734000000003,28.0331886,-80.6429694,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area"
"Panama City, FL",LAUMT123746000000003,30.1600827,-85.6545728,"Panama City, FL Metropolitan Statistical Area"
"Parkersburg, WV",LAUMT543762000000003,39.2699565,-81.5506915,"Parkersburg-Vienna, WV Metropolitan Statistical Area"
"Pensacola, FL",LAUMT123786000000003,30.421309,-87.2169148,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area"
"Peoria, IL",LAUMT173790000000003,40.6938609,-89.5891007,"Peoria, IL Metropolitan Statistical Area"
"Philadelphia, PA",LAUMT423798000000003,39.9523993,-75.1635898,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
"Phoenix, AZ",LAUMT043806000000003,33.4485866,-112.0773455,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
"Pine Bluff, AR",LAUMT053822000000003,34.2284312,-92.0031954,"Pine Bluff, AR Metropolitan Statistical Area"
"Pittsburgh, PA",LAUMT423830000000003,40.4416941,-79.990086,"Pittsburgh, PA Metropolitan Statistical Area"
"Pocatello, ID",LAUMT163854000000003,42.8688613,-112.4401097,"Pocatello, ID Metropolitan Statistical Area"
"Portland, OR",LAUMT413890000000003,45.5202471,-122.6741948,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area"
"Port St. Lucie, FL",LAUMT123894000000003,27.2939333,-80.3503282,"Port St. Lucie, FL Metropolitan Statistical Area"
"Prescott, AZ",LAUMT043914000000003,34.5402813,-112.4695072,"Prescott, AZ Metropolitan Statistical Area"
"Provo, UT",LAUMT493934000000003,40.2338438,-111.6585336,"Provo-Orem, UT Metropolitan Statistical Area"
"Pueblo, CO",LAUMT083938000000003,38.2544472,-104.6091409,"Pueblo, CO Metropolitan Statistical Area"
"Punta Gorda, FL",LAUMT123946000000003,26.9297836,-82.0453663,"Punta Gorda, FL Metropolitan Statistical Area"
"Racine, WI",LAUMT553954000000003,42.7260523,-87.7825241,"Racine, WI Metropolitan Statistical Area"
"Raleigh, NC",LAUMT373958000000003,35.7803977,-78.6390988,"Raleigh, NC Metropolitan Statistical Area"
"Rapid City, SD",LAUMT463966000000003,44.0811755,-103.2280059,"Rapid City, SD Metropolitan Statistical Area"
"Reading, PA",LAUMT423974000000003,40.335345,-75.9279494,"Reading, PA Metropolitan Statistical Area"
"Redding, CA",LAUMT063982000000003,40.5863563,-122.3916753,"Redding, CA Metropolitan Statistical Area"
"Reno, NV",LAUMT323990000000003,39.52927,-119.8136743,"Reno, NV Metropolitan Statistical Area"
"Richmond, VA",LAUMT514006000000003,37.5385087,-77.4342799,"Richmond, VA Metropolitan Statistical Area"
"Riverside, CA",LAUMT064014000000003,33.9533546,-117.3961622,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
"Roanoke, VA",LAUMT514022000000003,37.270973,-79.9414312,"Roanoke, VA Metropolitan Statistical Area"
"Rochester, MN",LAUMT274034000000003,44.0233269,-92.4630214,"Rochester, MN Metropolitan Statistical Area"
"Rochester, NY",LAUMT364038000000003,43.157285,-77.6152139,"Rochester, NY Metropolitan Statistical Area"
"Rockford, IL",LAUMT174042000000003,42.2713945,-89.0939659,"Rockford, IL Metropolitan Statistical Area"
"Rocky Mount, NC",LAUMT374058000000003,35.9423833,-77.7956948,"Rocky Mount, NC Metropolitan Statistical Area"
"Rome, GA",LAUMT134066000000003,34.257038,-85.1646725,"Rome, GA Metropolitan Statistical Area"
"Sacramento, CA",LAUMT064090000000003,38.5815719,-121.4943995,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area"
"Saginaw, MI",LAUMT264098000000003,43.4200387,-83.9490364,"Saginaw, MI Metropolitan Statistical Area"
"St. Cloud, MN",LAUMT274106000000003,45.5616075,-94.1642003,"St. Cloud, MN Metropolitan Statistical Area"
"St. George, UT",LAUMT494110000000003,37.104153,-113.5841312,"St. George, UT Metropolitan Statistical Area"
"St. Joseph, MO",LAUMT294114000000003,39.7686055,-94.8466321,"St. Joseph, MO-KS Metropolitan Statistical Area"
"St. Louis, MO",LAUMT294118000000003,38.6272733,-90.1978888,"St. Louis, MO-IL Metropolitan Statistical Area"
"Salem, OR",LAUMT414142000000003,44.9391565,-123.0331209,"Salem, OR Metropolitan Statistical Area"
"Salinas, CA",LAUMT064150000000003,36.6744117,-121.6550371,"Salinas, CA Metropolitan Statistical Area"
"Salisbury, MD",LAUMT104154000000003,38.3662114,-75.600888,"Salisbury, MD-DE Metropolitan Statistical Area"
"Salt Lake City, UT",LAUMT494162000000003,40.7670126,-111.8904307,"Salt Lake City, UT Metropolitan Statistical Area"
"San Angelo, TX",LAUMT484166000000003,31.4648357,-100.4398441,"San Angelo, TX Metropolitan Statistical Area"
"San Antonio, TX",LAUMT484170000000003,29.4246002,-98.4951404,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
"San Diego, CA",LAUMT064174000000003,32.7174209,-117.1627713,"San Diego-Carlsbad, CA Metropolitan Statistical Area"
"San Francisco, CA",LAUMT064186000000003,37.7792808,-122.4192362,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
"San Jose, CA",LAUMT064194000000003,37.3361905,-121.8905832,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
"San Luis Obispo, CA",LAUMT064202000000003,35.2827525,-120.6596155,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area"
"Santa Cruz, CA",LAUMT064210000000003,36.9735903,-122.0260569,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area"
"Santa Fe, NM",LAUMT354214000000003,35.6869996,-105.9377996,"Santa Fe, NM Metropolitan Statistical Area"
"Santa Maria, CA",LAUMT064220000000003,34.9531295,-120.4358576,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area"
"Santa Rosa, CA",LAUMT064222000000003,38.4404675,-122.7144313,"Santa Rosa, CA Metropolitan Statistical Area"
"Savannah, GA",LAUMT134234000000003,32.0835407,-81.0998341,"Savannah, GA Metropolitan Statistical Area"
"Scranton, PA",LAUMT424254000000003,41.4086874,-75.6621293,"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area"
"Seattle, WA",LAUMT534266000000003,47.6038321,-122.3300623,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area"
"Sebastian, FL",LAUMT124268000000003,27.816415,-80.4706077,"Sebastian-Vero Beach, FL Metropolitan Statistical Area"
"Sebring, FL",LAUMT124270000000003,27.4957453,-81.4410424,"Sebring, FL Metropolitan Statistical Area"
"Sheboygan, WI",LAUMT554310000000003,43.7508284,-87.7145299,"Sheboygan, WI Metropolitan Statistical Area"
"Sherman, TX",LAUMT484330000000003,33.6360125,-96.6097888,"Sherman-Denison, TX Metropolitan Statistical Area"
"Shreveport, LA",LAUMT224334000000003,32.5221828,-93.7651943,"Shreveport-Bossier City, LA Metropolitan Statistical Area"
"Sierra Vista, AZ",LAUMT044342000000003,31.5545401,-110.3036928,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area"
"Sioux City, IA",LAUMT194358000000003,42.4966815,-96.4058781,"Sioux City, IA-NE-SD Metropolitan Statistical Area"
"Sioux Falls, SD",LAUMT464362000000003,43.5499749,-96.7003269,"Sioux Falls, SD Metropolitan Statistical Area"
"South Bend, IN",LAUMT184378000000003,41.6833813,-86.2500065,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area"
"Spartanburg, SC",LAUMT454390000000003,34.9498007,-81.9320156,"Spartanburg, SC Metropolitan Statistical Area"
"Spokane, WA",LAUMT534406000000003,47.6588603,-117.4247133,"Spokane-Spokane Valley, WA Metropolitan Statistical Area"
"Springfield, IL",LAUMT174410000000003,39.7989763,-89.6443687,"Springfield, IL Metropolitan Statistical Area"
"Springfield, MO",LAUMT294418000000003,37.2153307,-93.298252,"Springfield, MO Metropolitan Statistical Area"
"Springfield, OH",LAUMT394422000000003,39.9242266,-83.8088171,"Springfield, OH Metropolitan Statistical Area"
"State College, PA",LAUMT424430000000003,40.794026,-77.8606974,"State College, PA Metropolitan Statistical Area"
"Staunton, VA",LAUMT514442000000003,38.1495947,-79.0725569,"Staunton-Waynesboro, VA Metropolitan Statistical Area"
"Stockton, CA",LAUMT064470000000003,37.9577016,-121.2907795,"Stockton-Lodi, CA Metropolitan Statistical Area"
"Sumter, SC",LAUMT454494000000003,33.9204354,-80.3414692,"Sumter, SC Metropolitan Statistical Area"
"Syracuse, NY",LAUMT364506000000003,43.0481221,-76.1474243,"Syracuse, NY Metropolitan Statistical Area"
"Tallahassee, FL",LAUMT124522000000003,30.4380832,-84.2809331,"Tallahassee, FL Metropolitan Statistical Area"
"Tampa, FL",LAUMT124530000000003,27.9477595,-82.4584439,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
"Terre Haute, IN",LAUMT184546000000003,39.4667025,-87.4139118,"Terre Haute, IN Metropolitan Statistical Area"
"Texarkana, TX",LAUMT484550000000003,33.425125,-94.0476881,"Texarkana, TX-AR Metropolitan Statistical Area"
"The Villages, FL",LAUMT124554000000003,28.9468504,-81.9533442,"The Villages, FL Metropolitan Statistical Area"
"Toledo, OH",LAUMT394578000000003,41.6786754,-83.5127282,"Toledo, OH Metropolitan Statistical Area"
"Topeka, KS",LAUMT204582000000003,39.0490111,-95.6775556,"Topeka, KS Metropolitan Statistical Area"
"Trenton, NJ",LAUMT344594000000003,40.217058,-74.7429459,"Trenton, NJ Metropolitan Statistical Area"
"Tucson, AZ",LAUMT044606000000003,32.2217422,-110.9264758,"Tucson, AZ Metropolitan Statistical Area"
"Tulsa, OK",LAUMT404614000000003,36.1556805,-95.9929112,"Tulsa, OK Metropolitan Statistical Area"
"Tuscaloosa, AL",LAUMT014622000000003,33.2668398,-87.4862181,"Tuscaloosa, AL Metropolitan Statistical Area"
"Tyler, TX",LAUMT484634000000003,32.3512601,-95.3010623,"Tyler, TX Metropolitan Statistical Area"
"Urban Honolulu, HI",LAUMT154652000000003,21.325852,-157.845315,"Urban Honolulu, HI Metropolitan Statistical Area"
"Utica, NY",LAUMT364654000000003,43.1009031,-75.232664,"Utica-Rome, NY Metropolitan Statistical Area"
"Valdosta, GA",LAUMT134666000000003,30.8327022,-83.278485,"Valdosta, GA Metropolitan Statistical Area"
"Vallejo, CA",LAUMT064670000000003,38.1040864,-122.2566366,"Vallejo-Fairfield, CA Metropolitan Statistical Area"
"Victoria, TX",LAUMT484702000000003,28.8052674,-97.0035981,"Victoria, TX Metropolitan Statistical Area"
"Vineland, NJ",LAUMT344722000000003,39.473152,-75.00202645,"Vineland-Bridgeton, NJ Metropolitan Statistical Area"
"Virginia Beach, VA",LAUMT514726000000003,36.8529841,-75.9774182,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Visalia, CA",LAUMT064730000000003,36.3302284,-119.2920584,"Visalia-Porterville, CA Metropolitan Statistical Area"
"Waco, TX",LAUMT484738000000003,31.549333,-97.1466694,"Waco, TX Metropolitan Statistical Area"
"Walla Walla, WA",LAUMT534746000000003,46.0649999,-118.3302783,"Walla Walla, WA Metropolitan Statistical Area"
"Warner Robins, GA",LAUMT134758000000003,32.598313,-83.62567691,"Warner Robins, GA Metropolitan Statistical Area"
"Washington, DC",LAUMT114790000000003,38.8949549,-77.0366455,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
"Waterloo, IA",LAUMT194794000000003,42.4982858,-92.336869,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area"
"Watertown, NY",LAUMT364806000000003,43.9747838,-75.9107564,"Watertown-Fort Drum, NY Metropolitan Statistical Area"
"Wausau, WI",LAUMT554814000000003,44.9596017,-89.6298238,"Wausau, WI Metropolitan Statistical Area"
"Weirton, WV",LAUMT394826000000003,40.4189566,-80.5895166,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area"
"Wenatchee, WA",LAUMT534830000000003,47.4234599,-120.3103493,"Wenatchee, WA Metropolitan Statistical Area"
"Wheeling, WV",LAUMT544854000000003,40.0639616,-80.7209148,"Wheeling, WV-OH Metropolitan Statistical Area"
"Wichita, KS",LAUMT204862000000003,37.6922361,-97.3375447,"Wichita, KS Metropolitan Statistical Area"
"Wichita Falls, TX",LAUMT484866000000003,33.9137085,-98.4933872,"Wichita Falls, TX Metropolitan Statistical Area"
"Williamsport, PA",LAUMT424870000000003,41.2493292,-77.002767,"Williamsport, PA Metropolitan Statistical Area"
"Wilmington, NC",LAUMT374890000000003,34.2257282,-77.9447106,"Wilmington, NC Metropolitan Statistical Area"
"Winchester, VA",LAUMT514902000000003,39.1852184,-78.1652403,"Winchester, VA-WV Metropolitan Statistical Area"
"Winston-Salem, NC",LAUMT374918000000003,36.0998131,-80.2440517,"Winston-Salem, NC Metropolitan Statistical Area"
"Yakima, WA",LAUMT534942000000003,46.601557,-120.510842,"Yakima, WA Metropolitan Statistical Area"
"York, PA",LAUMT424962000000003,39.962398,-76.7273919,"York-Hanover, PA Metropolitan Statistical Area"
"Youngstown, OH",LAUMT394966000000003,41.0997803,-80.6495193,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area"
"Yuba City, CA",LAUMT064970000000003,39.1404477,-121.6169107,"Yuba City, CA Metropolitan Statistical Area"
"Yuma, AZ",LAUMT044974000000003,32.665135,-114.4760315,"Yuma, AZ Metropolitan Statistical Area"
