date,Government,Utilities,Wholesale trade,Retail trade,Transportation and warehousing,Private goods-producing industries [1],Private services-producing industries [2],"Finance, insurance, real estate, rental, and leasing","Educational services, health care, and social assistance",Construction,Manufacturing,Information,Professional and business services,Federal,State and local,TTU,FIRE,Oth_Serv,GoodsTTU,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation","Arts, entertainment, recreation, accommodation, and food services",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,"Data processing, internet publishing, and other information services",Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,"Federal Reserve banks, credit intermediation, and related activities",Finance and insurance,Food and beverage and tobacco products,Food and beverage stores,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,General government,General merchandise stores,Government enterprises,Gross domestic product,Health care and social assistance,Hospitals,Housing,Insurance carriers and related activities,Legal services,Machinery,Management of companies and enterprises,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,Motor vehicle and parts dealers,"Motor vehicles, bodies and trailers, and parts",National defense,Nondefense,Nondurable goods,Nonmetallic mineral products,Nursing and residential care facilities,Oil and gas extraction,Other real estate,Other retail,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,Private industries,"Professional, scientific, and technical services","Publishing industries, except internet (includes software)",Rail transportation,Real estate,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Truck transportation,Warehousing and storage,Waste management and remediation services,Water transportation,Wood products
2007-01-01,0.11,-0.03,-0.12,-0.51,-0.24,-0.2,0.92,0.87,-0.12,0.14,-0.34,0.62,0.49,0.02,0.09,-0.9,1.49,0.33,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-01,0.12,0.27,0.56,-0.75,0.4,1.2,1.01,-0.56,0.18,0.3,1.03,0.67,0.42,-0.01,0.14,0.48,0.11,0.42,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-01,0.14,-0.04,-0.13,-0.03,-0.22,0.39,1.66,0.23,0.32,-0.22,1,0.61,1.03,0.13,0.01,-0.42,0.84,1.24,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-10-01,0.34,0.12,0.19,0.06,0.31,0.02,2.21,-0.36,0.42,-0.61,1.07,0.5,1.02,0.08,0.26,0.68,0.14,1.39,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,0.38,0.07,-0.19,-0.42,-0.11,-2.68,0.67,0.9,0.63,-0.86,-1.55,-0.1,0.17,0.13,0.25,-0.65,0.8,0.52,-3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,0.33,0.45,-0.12,-0.17,0.02,0.31,1.28,-0.79,0.55,-0.19,1.05,0.62,0.8,0.13,0.2,0.18,-0.17,1.27,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,0.27,-0.02,-0.28,-0.25,-0.15,-1.05,-1.45,-1.84,0.63,-0.16,-1.22,0.04,0.53,0.17,0.11,-0.7,-1.8,1.05,-1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-01,-0.31,-0.94,-1.11,-0.55,-0.3,-1.33,-6.79,-2.73,0.52,-0.88,-3.1,-0.98,-0.42,0.08,-0.39,-2.9,-3.71,-0.18,-4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,-0.13,-0.21,-1.66,-0.13,-0.73,-3.95,-0.28,5.87,0.17,-1.42,-2.79,-0.28,-2.54,0.08,-0.21,-2.73,5.59,-3.14,-6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,0.21,0.09,-0.87,-0.04,0.16,-1.05,0.03,1.88,0.13,-0.28,0.11,0.01,-1.01,0.2,0.02,-0.66,1.89,-1.2,-1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,0.06,0.18,-0.03,-0.22,-0.02,0.73,0.43,0.57,0.01,0.21,0.61,0.1,-0.02,0.1,-0.04,-0.09,0.67,-0.15,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,0.14,0.37,0.88,0.51,0.21,0.7,2.75,-0.35,0.26,-0.58,1.77,0.79,0.08,0.08,0.06,1.97,0.44,0.34,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,0.18,0.43,-0.23,-0.24,-0.05,-0.15,1.38,0.41,-0.14,-0.35,0.66,-0.04,1.12,0.18,0,-0.09,0.37,1.1,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,0.04,-0.04,0.78,0.29,0.23,1.24,2.93,0.14,0.34,0.28,0.42,0.22,0.62,0.17,-0.13,1.26,0.36,1.31,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,-0.22,0.12,0.69,0.01,0.37,0.58,2.48,-0.74,0.26,-0.11,0.63,0.64,0.86,-0.08,-0.15,1.19,-0.1,1.39,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,-0.08,0.11,0,0.06,0.24,0.32,2.19,0.78,0.13,-0.1,0.32,0.01,0.74,-0.06,-0.03,0.41,0.79,0.99,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,0.14,-0.22,-0.09,0,-0.24,-0.97,-0.5,0.03,0.02,-0.3,-0.35,-0.17,0.18,0.1,0.03,-0.55,-0.14,0.19,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,0.01,0.48,-0.25,-0.06,0.1,0.34,2.07,0.48,0.28,0.21,0.39,0.13,0.68,-0.01,0.02,0.27,0.61,1.19,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,-0.28,-0.11,-0.1,-0.15,-0.15,-0.21,0.12,0.53,0.07,0.02,-0.51,-0.11,0.06,-0.05,-0.23,-0.51,0.42,0.21,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,0.01,0.49,1.17,0.39,0.11,1.37,3.74,1.36,0.07,0.01,0.65,0.02,0.26,0.01,0,2.16,1.38,0.2,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,-0.04,-0.37,-0.37,0.21,0.11,0.65,2.3,0.72,0.4,0.31,0.39,-0.1,1.23,0.02,-0.05,-0.42,0.62,2.1,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-01,-0.24,0.22,0.61,-0.43,-0.06,-0.15,1.75,0.91,-0.09,-0.07,-0.32,0.25,0.37,-0.05,-0.2,0.34,1.16,0.25,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-01,-0.02,-0.02,0.12,0.5,-0.02,-1.13,1.47,0.89,0.03,-0.06,-0.74,-0.26,0.21,-0.04,0.02,0.58,0.63,0.26,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,-0.03,-0.12,-0.2,-0.11,-0.02,0.04,0.08,-0.58,0.27,0.26,-0.22,-0.11,0.7,-0.08,0.05,-0.45,-0.69,1.22,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,-0.03,0.18,0.28,0.61,0.17,2.3,0.75,-1.7,0.16,0.1,1.63,1.46,-0.49,-0.09,0.06,1.24,-0.24,-0.25,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,-0.11,-0.15,-0.12,-0.23,-0.1,0.64,-0.2,0.19,0.04,-0.01,0.16,0.2,0.1,-0.12,0.01,-0.6,0.39,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,-0.19,-0.04,0.36,-0.07,0.1,1.06,2.25,0.76,0.07,0.19,0.64,0.39,0.66,-0.17,-0.02,0.35,1.15,0.75,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,-0.23,-0.13,0.28,0.1,0.26,0.16,3.1,0.99,0.16,-0.1,0.05,0.61,0.55,-0.18,-0.05,0.51,1.6,0.99,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,0.19,-0.19,-0.28,0.05,-0.01,-1.08,-0.44,0.03,-0.1,-0.01,-0.74,-0.46,0.4,0.26,-0.07,-0.43,-0.43,0.42,-1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,0.18,0.13,0.49,0.32,0.08,1.72,3.31,1,0.19,0.22,0.96,0.28,0.49,-0.04,0.22,1.02,1.28,1.01,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,-0.1,0.12,0.8,0.16,0.28,1.17,3.66,0.27,0.44,-0.01,0.63,0.15,1.06,-0.05,-0.05,1.36,0.42,1.88,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,-0.05,-0.1,0.03,-0.17,0,1.02,0.85,0.29,0.27,0.22,0.23,0.19,0.28,-0.04,-0.01,-0.24,0.48,0.61,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,-0.22,-0.61,0.19,0.4,-0.14,1.31,2.15,0.45,0.48,0.14,0.7,0.76,0.47,0.06,-0.28,-0.16,1.21,1.1,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,0.16,0.3,0.19,0.42,0.26,-0.44,2.56,0.4,0.19,0.28,0,0.46,0.25,0,0.16,1.17,0.86,0.53,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,0.06,0.09,-0.01,0.26,0.22,0.44,0.81,-1.04,0.28,0.09,0.06,0.56,0.41,0,0.06,0.56,-0.48,0.73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,0.07,-0.02,-0.29,0.1,0.04,-0.41,0.98,0.13,0.21,0.08,-0.58,0.66,0.12,0.02,0.05,-0.17,0.79,0.36,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,0.16,0.11,-0.33,0.41,-0.21,0.85,1.38,0.04,0.41,0.33,0.03,0.56,0.35,0.06,0.1,-0.02,0.6,0.8,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,0.11,0.08,0.15,0.05,0.28,-0.8,1.86,1.02,0.2,-0.09,-0.12,0.15,-0.01,0.06,0.05,0.56,1.17,0.13,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,0.32,0.17,0.28,0.28,0.01,0.19,1.97,0.65,-0.09,0.12,0.14,0.34,0.15,0.06,0.26,0.74,0.99,0.24,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,0.09,-0.03,-0.14,0.19,0.27,-0.07,2,0.36,0.32,0.23,-0.29,0.11,0.72,0.02,0.07,0.29,0.47,1.24,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,0.11,-0.1,-0.03,0.04,0.09,0.94,0.58,-0.38,0.09,0.3,0.46,0.35,0.5,0.03,0.08,0,-0.03,0.61,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,0.04,0.11,-0.11,0.17,0.09,1,0.91,-0.68,0.15,-0.09,0.81,0.29,0.78,-0.01,0.05,0.26,-0.39,1.04,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,0.15,-0.06,0.09,0.5,0.06,0.46,2.68,0.54,0.1,0.04,0.3,0.54,0.7,0.05,0.11,0.59,1.08,1.01,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,0.16,0.15,0.17,0.02,0.09,1.34,2.51,0.35,0.16,0.33,1.01,0.5,1.05,0.04,0.12,0.43,0.85,1.23,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,0.08,-0.14,0.2,0.33,0.28,0.41,2.24,0.35,0.46,0.15,0.28,0.26,0.5,0.02,0.06,0.67,0.61,0.96,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,0.06,-0.01,0.13,0.64,0.18,-0.27,2.33,0.89,0.15,-0.19,0,0.38,-0.08,-0.03,0.08,0.94,1.27,0.12,0.67,-0.02,0,0.19,0.18,0.04,0.06,0.14,0.02,0,0.04,0.04,0.46,-0.02,0.12,0.09,-0.02,0.12,-0.02,-0.02,-0.06,0,0.17,0.31,0.01,0.03,0.02,0.05,-0.01,0,0.03,0.35,0.06,2,0.17,0.02,0.43,0.12,-0.12,-0.09,-0.11,-0.12,0.03,0,-0.11,-0.12,-0.02,-0.03,-0.01,0.01,-0.12,-0.01,0,-0.09,0.2,0.27,0,0.05,0.12,0,0.01,-0.02,-0.03,-0.05,0.09,-0.01,2.06,-0.15,0.06,-0.02,0.64,0.58,-0.06,0.04,0.01,-0.06,-0.01,0.02,0.07,0.03,-0.01,0.01,0.01
2005-07-01,0.17,0.1,0.2,0.61,0.62,-0.19,3.21,0.73,0.49,-0.13,0.55,-0.06,0.33,-0.03,0.2,1.53,0.67,1.01,1.34,0.01,0.1,0.1,0.12,0,0.16,0.26,0.01,0,0.05,0.15,-0.07,0.33,0.33,0.15,0.06,0.6,0.04,0.04,-0.05,0.02,0.2,0.57,0.19,-0.02,0.09,-0.01,0.03,0,0.13,0.03,0.07,3.2,0.45,0.15,0.14,0.21,-0.08,0.04,0,-0.61,0.03,0.03,0.13,0.01,0.19,0.02,0,0,-0.05,0,0.02,-0.6,-0.08,0.4,0.06,0.17,0.01,0.06,0.04,-0.68,-0.01,0.02,0.17,0.01,3.03,0.2,-0.07,0.01,0.05,0.16,0.1,0.13,0.02,-0.04,0.02,-0.02,0.22,0.04,0.02,0.04,0.01
2005-10-01,0.18,-0.04,0.37,-0.6,0.17,0.67,1.35,0.77,0.16,-0.16,1.03,0.09,0.37,0.12,0.06,-0.1,0.86,0.59,0.57,0,0.07,0.12,0.1,0.18,0,0.1,-0.04,0,0,0.08,-0.06,-0.04,0.28,0.05,0.09,0.98,-0.01,0.06,0.1,0.15,0.08,0.42,0.2,-0.1,0.07,0.02,0.03,0.02,0.1,-0.17,0.07,2.2,0.17,0.04,0.1,0.17,-0.01,0.08,0.05,-0.38,-0.02,0.04,0.18,0.09,-0.12,0.26,0.05,0.05,0.05,0.02,0.01,-0.25,0.09,-0.21,0,0.07,0.13,0.13,0.04,-0.18,-0.02,-0.06,-0.02,-0.01,2.02,0.21,-0.03,-0.02,0.19,0.34,0.15,0.14,0.01,-0.11,0.01,0.03,0,0.04,-0.02,0.07,0
2006-01-01,-0.12,0.03,0.06,0.35,-0.02,2.84,2.77,0.54,0.58,0.37,1.61,-0.02,0.94,-0.05,-0.07,0.42,0.52,1.83,3.26,0.07,0.18,0.18,0.14,-0.13,-0.05,0.34,0,-0.01,0.07,0.26,0.12,0.3,0.65,0.22,0.16,0.82,0.06,0.09,0.05,-0.22,-0.03,0.74,0.18,0.06,0.11,0.09,0.01,0.01,0.04,0.02,-0.11,5.5,0.51,0.13,0.27,0.13,0.05,0.07,0.17,0.99,0.03,0.05,0.37,0.07,-0.05,0.07,-0.01,-0.01,0.79,-0.03,0.04,0.85,-0.88,0.33,0.05,-0.08,-0.09,0.02,0.07,0.38,0.03,-0.07,-0.04,0.02,5.61,0.64,-0.38,0.05,-0.6,-0.2,0.4,0.63,0,0.11,-0.02,0,-0.02,-0.01,-0.04,0.06,-0.03
2006-04-01,0.06,0.47,-0.13,0.23,0.28,-0.2,1.18,-0.45,0.22,-0.37,-0.11,0.43,0.12,0.04,0.02,0.85,-0.02,0.35,0.65,-0.01,-0.04,-0.02,-0.04,0.37,0.13,0.09,0.01,-0.01,0.03,-0.01,0.16,0.36,-0.01,0.02,0.08,0.09,0.04,0.06,0.03,0.32,-0.59,-0.67,0.18,0.04,-0.04,0.05,0,-0.01,0.07,-0.03,0.01,1,0.19,0.07,0.27,0.04,0.06,0.08,0.05,-0.09,-0.09,0.05,0.03,0.1,-0.13,0.12,0,0.03,-0.2,-0.07,0.01,-0.01,-0.16,0.35,0.01,0.02,-0.01,-0.01,0.02,-0.71,-0.03,0,-0.1,0.01,0.97,0.11,0.09,0.02,0.11,0.21,0.1,-0.11,0.01,0.01,-0.01,0.03,0.09,0.01,-0.02,0.01,-0.05
2006-07-01,0.21,0.08,-0.02,-0.62,0,-0.58,0.96,0.72,-0.03,-0.35,0.03,0.74,0.15,0.05,0.16,-0.56,1.46,0.06,-1.14,0.02,0.03,0.01,-0.01,-0.33,0.08,-0.02,0.01,0,-0.04,-0.01,0.75,0.26,0.11,0.11,-0.05,-0.01,0,-0.02,0.03,-0.35,0.12,0.23,0.13,-0.05,0.01,0.02,-0.04,-0.02,0.17,-0.05,-0.03,0.6,-0.03,0,0.06,0.23,0.01,0.04,0,0.07,-0.02,0.02,0.04,0.07,0.04,0,0.06,0.03,0.05,-0.04,-0.01,0.07,0.42,-0.57,-0.05,-0.06,0.05,-0.04,-0.05,-0.3,0.02,0.02,-0.21,-0.02,0.38,0.16,-0.03,-0.03,0.48,0.49,0.01,-0.08,0,0.02,-0.01,-0.06,0.02,0,-0.02,0.03,0.03
2006-10-01,0.09,-0.12,0.1,0.26,0,0.88,2.5,1.45,0.22,-0.51,1.22,-0.02,0.6,0.02,0.07,0.24,1.43,0.83,1.12,0,0,0.1,0.1,-0.26,-0.01,0.12,0.04,0,0.04,0.04,0.11,-0.02,0.23,0.14,-0.01,0.57,0.01,-0.01,0.04,-0.24,-0.45,0.11,0.15,-0.01,-0.01,-0.02,-0.03,-0.02,0.13,0.21,0.01,3.5,0.21,0.07,-0.03,0.37,0.03,0.04,0.16,0.42,0.05,0,0.17,0.06,0.01,0.15,0.01,0.01,0.65,0.01,0.01,0.39,1.47,0.05,-0.03,0.02,0.13,0,0,0.56,-0.01,-0.03,0.01,0.02,3.37,0.34,-0.18,0,1.44,1.34,-0.11,0.22,0.02,-0.03,-0.02,0.05,-0.08,0.01,0,0.02,0
2007-01-01,0.12,0,-0.2,-0.47,-0.26,-0.04,1.11,0.98,-0.1,0.16,-0.13,0.65,0.51,0.03,0.1,-0.93,1.63,0.41,-0.97,0.06,0.03,0.12,0.17,-0.18,0.02,-0.13,0.03,-0.01,0.02,0.05,0.4,0.14,0.16,0.2,-0.36,0.15,0,-0.08,0.03,-0.11,-0.22,0.34,-0.25,-0.1,-0.03,-0.08,-0.04,-0.02,0.11,-0.06,-0.01,1.2,-0.1,0.02,0.12,0.68,-0.02,-0.04,0.21,0.11,0.04,-0.02,-0.05,-0.02,0.03,-0.05,0.01,0.02,-0.27,-0.05,0,0.08,0.75,-0.34,-0.04,-0.18,0.1,-0.13,-0.01,-0.11,0.03,0.05,0.12,0.02,1.07,0.13,0.64,0,0.87,0.64,-0.23,-0.07,0,0,0.01,-0.02,-0.1,-0.03,0.06,0.03,0.01
2007-04-01,0.12,0.29,0.6,-0.77,0.41,1.21,1.17,-0.54,0.2,0.32,1.06,0.69,0.45,-0.01,0.13,0.53,0.15,0.49,1.74,-0.02,-0.08,0.22,0.25,-0.38,0.21,0.12,0.02,-0.01,0,-0.09,0.4,0.17,0.33,0.13,-0.07,0.79,0.03,0.02,0.17,-0.39,-0.27,-1.09,0.17,-0.1,-0.07,0.01,-0.05,-0.02,0.13,-0.27,0,2.5,0.17,0.04,0.23,0.19,-0.12,0.17,0,0.21,0.06,0.03,0.2,0.18,0.02,-0.01,0.03,0,0.27,0.06,0,0.09,0.34,-0.41,-0.07,-0.08,0.25,0.01,-0.03,-0.12,0.02,0.07,-0.21,-0.01,2.38,0.21,0.19,-0.01,0.57,0.55,-0.02,-0.95,0.01,0.06,0,0.04,0.19,0,0.03,0.03,0
2007-07-01,0.13,-0.09,-0.08,0.03,-0.2,0.34,1.86,0.29,0.34,-0.18,0.96,0.62,1.03,0.12,0.01,-0.34,0.91,1.29,5.55112e-17,-0.01,-0.09,0.18,0.2,-0.27,-0.15,0.18,0.01,0,0.06,-0.03,0.28,-0.04,0.48,0.18,0.06,0.9,0.05,-0.04,-0.01,-0.26,0.02,-0.64,0.13,0.02,-0.08,-0.01,-0.03,-0.01,0.13,-0.04,-0.06,2.3,0.29,0.11,0.33,-0.2,0.11,0.07,0.05,-0.17,0.02,0.02,0.49,0.13,0.02,-0.02,0.07,0.06,0.06,0.12,-0.01,-0.25,0.48,0.02,-0.05,0,0.15,0.11,0.05,-0.11,-0.04,-0.03,0.15,0.01,2.2,0.78,0.16,0,0.81,0.93,0.13,-0.44,0.01,0.06,-0.01,-0.04,0.04,-0.01,0.02,0,-0.01
2007-10-01,0.33,0.16,0.2,0.06,0.31,-0.06,2.28,-0.36,0.42,-0.62,1.1,0.5,1.03,0.07,0.26,0.73,0.14,1.41,0.67,0.03,0.06,0.15,0.16,-0.07,0,0.24,0,0,-0.02,0.04,0.18,-0.03,0.35,0.12,0.2,0.15,0.06,0.02,-0.08,-0.05,-0.34,-1.55,-0.1,-0.03,0.03,-0.02,0.01,-0.03,0.16,0.14,0.1,2.5,0.36,0.08,0.62,-0.5,0.23,-0.07,0.04,-0.46,-0.13,0.04,0.48,0.05,-0.13,-0.18,0.06,0.04,0.95,-0.06,0.03,-0.36,0.46,0.07,-0.06,0.09,-0.11,-0.03,-0.02,1.13,0.08,-0.06,0.27,0.02,2.22,0.83,0.07,0.01,1.08,1.19,0.11,-0.72,0.02,0.02,0,0.07,-0.04,0.04,0,0.07,0
2008-01-01,0.38,0.13,-0.2,-0.35,-0.12,-2.68,0.62,0.72,0.62,-0.88,-1.57,-0.12,0.21,0.13,0.25,-0.54,0.6,0.56,-3.22,-0.06,-0.17,-0.17,-0.19,0.28,0.06,0.2,-0.01,0.01,0,-0.16,0.07,-0.42,0.13,0.06,0.12,-0.2,0.05,0.04,-0.1,0.29,0.82,0.47,-0.42,-0.05,-0.11,0,0.01,-0.05,0.14,0.01,0.13,-1.7,0.57,0.26,0.67,-0.74,0.12,0.03,-0.09,-0.51,0,-0.02,0.32,-0.1,-0.15,-0.21,0.09,0.05,-1.37,-0.07,0.08,-0.46,-0.3,-0.17,-0.11,0,-0.05,-0.2,0.02,-0.19,0.08,-0.12,0.1,-0.02,-2.06,0.49,-0.19,0.01,0.37,0.25,-0.12,0.37,0.03,-0.04,-0.01,-0.04,-0.29,0,-0.02,0.06,0
