,industry_code,naics_code,publishing_status,industry_name,display_level,selectable,sort_sequence,series_id,supersector_code,data_type_code,seasonal,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
3178,65610000,61,B,Private educational services,3.0,T,670.0,CEU6561000001,65,1,U,"All employees, thousands, private educational services, not seasonally adjusted",,1990,M01,2023,M04
0,0,,,,,,,CES0000000001,0,1,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M04
4,5000000,,,,,,,CES0500000001,5,1,S,"All employees, thousands, total private, seasonally adjusted",,1939,M01,2023,M04
6,5000000,,,,,,,CES0500000003,5,3,S,"Average hourly earnings of all employees, total private, seasonally adjusted",,2006,M03,2023,M04
7,5000000,,,,,,,CES0500000006,5,6,S,"Production and nonsupervisory employees, thousands, total private, seasonally adjusted",,1964,M01,2023,M04
9,5000000,,,,,,,CES0500000008,5,8,S,"Average hourly earnings of production and nonsupervisory employees, total private, seasonally adjusted",,1964,M01,2023,M04
33,6000000,,,,,,,CES0600000002,6,2,S,"Average weekly hours of all employees, goods-producing, seasonally adjusted",,2006,M03,2023,M04
11953,90000000,,,,,,,CES9000000001,90,1,S,"All employees, thousands, government, seasonally adjusted",,1939,M01,2023,M04
11955,90910000,,,,,,,CES9091000001,90,1,S,"All employees, thousands, federal, seasonally adjusted",,1939,M01,2023,M04
11967,90920000,,,,,,,CES9092000001,90,1,S,"All employees, thousands, state government, seasonally adjusted",,1955,M01,2023,M04
11979,90930000,,,,,,,CES9093000001,90,1,S,"All employees, thousands, local government, seasonally adjusted",,1955,M01,2023,M04
11995,0,,,,,,,CEU0000000001,0,1,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M04
11997,5000000,,,,,,,CEU0500000001,5,1,U,"All employees, thousands, total private, not seasonally adjusted",,1939,M01,2023,M04
12000,5000000,,,,,,,CEU0500000006,5,6,U,"Production and nonsupervisory employees, thousands, total private, not seasonally adjusted",,1964,M01,2023,M04
12019,6000000,,,,,,,CEU0600000001,6,1,U,"All employees, thousands, goods-producing, not seasonally adjusted",,1939,M01,2023,M04
12042,8000000,,,,,,,CEU0800000001,8,1,U,"All employees, thousands, private service-providing, not seasonally adjusted",,1939,M01,2023,M04
23939,90000000,,,,,,,CEU9000000001,90,1,U,"All employees, thousands, government, not seasonally adjusted",,1939,M01,2023,M04
